job n,threads,profondeur,random,seed,time
1 , 1 ,2, true , 1 ,
1 , 1 ,4, true , 1 ,
1 , 1 ,8, true , 1 ,
1 , 1 ,16, true , 1 ,
1 , 1 ,32, true , 1 ,
1 , 1 ,64, true , 1 ,
1 , 2 ,2, true , 1 ,
1 , 2 ,4, true , 1 ,
1 , 2 ,8, true , 1 ,
1 , 2 ,16, true , 1 ,
1 , 2 ,32, true , 1 ,
1 , 2 ,64, true , 1 ,
1 , 3 ,2, true , 1 ,
1 , 3 ,4, true , 1 ,
1 , 3 ,8, true , 1 ,
1 , 3 ,16, true , 1 ,
1 , 3 ,32, true , 1 ,
1 , 3 ,64, true , 1 ,
1 , 4 ,2, true , 1 ,
1 , 4 ,4, true , 1 ,
1 , 4 ,8, true , 1 ,
1 , 4 ,16, true , 1 ,
1 , 4 ,32, true , 1 ,
1 , 4 ,64, true , 1 ,
1 , 5 ,2, true , 1 ,
1 , 5 ,4, true , 1 ,
1 , 5 ,8, true , 1 ,
1 , 5 ,16, true , 1 ,
1 , 5 ,32, true , 1 ,
1 , 5 ,64, true , 1 ,
1 , 6 ,2, true , 1 ,
1 , 6 ,4, true , 1 ,
1 , 6 ,8, true , 1 ,
1 , 6 ,16, true , 1 ,
1 , 6 ,32, true , 1 ,
1 , 6 ,64, true , 1 ,
1 , 7 ,2, true , 1 ,
1 , 7 ,4, true , 1 ,
1 , 7 ,8, true , 1 ,
1 , 7 ,16, true , 1 ,
1 , 7 ,32, true , 1 ,
1 , 7 ,64, true , 1 ,
1 , 8 ,2, true , 1 ,
1 , 8 ,4, true , 1 ,
1 , 8 ,8, true , 1 ,
1 , 8 ,16, true , 1 ,
1 , 8 ,32, true , 1 ,
1 , 8 ,64, true , 1 ,
1 , 9 ,2, true , 1 ,
1 , 9 ,4, true , 1 ,
1 , 9 ,8, true , 1 ,
1 , 9 ,16, true , 1 ,
1 , 9 ,32, true , 1 ,
1 , 9 ,64, true , 1 ,
1 , 10 ,2, true , 1 ,
1 , 10 ,4, true , 1 ,
1 , 10 ,8, true , 1 ,
1 , 10 ,16, true , 1 ,
1 , 10 ,32, true , 1 ,
1 , 10 ,64, true , 1 ,
1 , 11 ,2, true , 1 ,
1 , 11 ,4, true , 1 ,
1 , 11 ,8, true , 1 ,
1 , 11 ,16, true , 1 ,
1 , 11 ,32, true , 1 ,
1 , 11 ,64, true , 1 ,
1 , 12 ,2, true , 1 ,
1 , 12 ,4, true , 1 ,
1 , 12 ,8, true , 1 ,
1 , 12 ,16, true , 1 ,
1 , 12 ,32, true , 1 ,
1 , 12 ,64, true , 1 ,
1 , 13 ,2, true , 1 ,
1 , 13 ,4, true , 1 ,
1 , 13 ,8, true , 1 ,
1 , 13 ,16, true , 1 ,
1 , 13 ,32, true , 1 ,
1 , 13 ,64, true , 1 ,
1 , 14 ,2, true , 1 ,
1 , 14 ,4, true , 1 ,
1 , 14 ,8, true , 1 ,
1 , 14 ,16, true , 1 ,
1 , 14 ,32, true , 1 ,
1 , 14 ,64, true , 1 ,
1 , 15 ,2, true , 1 ,
1 , 15 ,4, true , 1 ,
1 , 15 ,8, true , 1 ,
1 , 15 ,16, true , 1 ,
1 , 15 ,32, true , 1 ,
1 , 15 ,64, true , 1 ,
1 , 16 ,2, true , 1 ,
1 , 16 ,4, true , 1 ,
1 , 16 ,8, true , 1 ,
1 , 16 ,16, true , 1 ,
1 , 16 ,32, true , 1 ,
1 , 16 ,64, true , 1 ,
1 , 17 ,2, true , 1 ,
1 , 17 ,4, true , 1 ,
1 , 17 ,8, true , 1 ,
1 , 17 ,16, true , 1 ,
1 , 17 ,32, true , 1 ,
1 , 17 ,64, true , 1 ,
1 , 18 ,2, true , 1 ,
1 , 18 ,4, true , 1 ,
1 , 18 ,8, true , 1 ,
1 , 18 ,16, true , 1 ,
1 , 18 ,32, true , 1 ,
1 , 18 ,64, true , 1 ,
1 , 19 ,2, true , 1 ,
1 , 19 ,4, true , 1 ,
1 , 19 ,8, true , 1 ,
1 , 19 ,16, true , 1 ,
1 , 19 ,32, true , 1 ,
1 , 19 ,64, true , 1 ,
1 , 20 ,2, true , 1 ,
1 , 20 ,4, true , 1 ,
1 , 20 ,8, true , 1 ,
1 , 20 ,16, true , 1 ,
1 , 20 ,32, true , 1 ,
1 , 20 ,64, true , 1 ,
1 , 21 ,2, true , 1 ,
1 , 21 ,4, true , 1 ,
1 , 21 ,8, true , 1 ,
1 , 21 ,16, true , 1 ,
1 , 21 ,32, true , 1 ,
1 , 21 ,64, true , 1 ,
1 , 22 ,2, true , 1 ,
1 , 22 ,4, true , 1 ,
1 , 22 ,8, true , 1 ,
1 , 22 ,16, true , 1 ,
1 , 22 ,32, true , 1 ,
1 , 22 ,64, true , 1 ,
1 , 23 ,2, true , 1 ,
1 , 23 ,4, true , 1 ,
1 , 23 ,8, true , 1 ,
1 , 23 ,16, true , 1 ,
1 , 23 ,32, true , 1 ,
