job n,threads,country,random,seed,time
1 , 1 , lausanne , true , 1 , 35
1 , 2 , lausanne , true , 1 , 24
1 , 3 , lausanne , true , 1 , 21
1 , 4 , lausanne , true , 1 , 19
1 , 5 , lausanne , true , 1 , 16
1 , 6 , lausanne , true , 1 , 18
1 , 7 , lausanne , true , 1 , 15
1 , 8 , lausanne , true , 1 , 15
1 , 9 , lausanne , true , 1 , 13
1 , 10 , lausanne , true , 1 , 12
1 , 11 , lausanne , true , 1 , 13
1 , 12 , lausanne , true , 1 , 14
1 , 13 , lausanne , true , 1 , 13
1 , 14 , lausanne , true , 1 , 12
1 , 15 , lausanne , true , 1 , 16
1 , 16 , lausanne , true , 1 , 12
1 , 17 , lausanne , true , 1 , 12
1 , 18 , lausanne , true , 1 , 13
1 , 19 , lausanne , true , 1 , 15
1 , 20 , lausanne , true , 1 , 13
1 , 21 , lausanne , true , 1 , 12
1 , 22 , lausanne , true , 1 , 15
1 , 23 , lausanne , true , 1 , 13
1 , 24 , lausanne , true , 1 , 12
1 , 25 , lausanne , true , 1 , 14
1 , 26 , lausanne , true , 1 , 15
1 , 27 , lausanne , true , 1 , 13
1 , 28 , lausanne , true , 1 , 13
1 , 29 , lausanne , true , 1 , 17
1 , 30 , lausanne , true , 1 , 13
1 , 31 , lausanne , true , 1 , 12
1 , 32 , lausanne , true , 1 , 13
1 , 33 , lausanne , true , 1 , 15
1 , 34 , lausanne , true , 1 , 13
1 , 35 , lausanne , true , 1 , 13
1 , 36 , lausanne , true , 1 , 13
1 , 37 , lausanne , true , 1 , 14
1 , 38 , lausanne , true , 1 , 13
1 , 39 , lausanne , true , 1 , 16
1 , 40 , lausanne , true , 1 , 13
1 , 41 , lausanne , true , 1 , 12
1 , 42 , lausanne , true , 1 , 13
1 , 43 , lausanne , true , 1 , 17
1 , 44 , lausanne , true , 1 , 13
1 , 45 , lausanne , true , 1 , 13
1 , 46 , lausanne , true , 1 , 12
1 , 47 , lausanne , true , 1 , 12
1 , 48 , lausanne , true , 1 , 12
1 , 49 , lausanne , true , 1 , 13
1 , 50 , lausanne , true , 1 , 13
1 , 51 , lausanne , true , 1 , 13
1 , 52 , lausanne , true , 1 , 12
1 , 53 , lausanne , true , 1 , 13
1 , 54 , lausanne , true , 1 , 13
1 , 55 , lausanne , true , 1 , 13
1 , 56 , lausanne , true , 1 , 13
1 , 57 , lausanne , true , 1 , 13
1 , 58 , lausanne , true , 1 , 13
1 , 59 , lausanne , true , 1 , 13
1 , 60 , lausanne , true , 1 , 13
1 , 61 , lausanne , true , 1 , 13
1 , 62 , lausanne , true , 1 , 13
1 , 63 , lausanne , true , 1 , 13
1 , 64 , lausanne , true , 1 , 13
1 , 1 , swiss , true , 1 , 12
1 , 2 , swiss , true , 1 , 12
1 , 3 , swiss , true , 1 , 13
1 , 4 , swiss , true , 1 , 12
1 , 5 , swiss , true , 1 , 13
1 , 6 , swiss , true , 1 , 12
1 , 7 , swiss , true , 1 , 12
1 , 8 , swiss , true , 1 , 12
1 , 9 , swiss , true , 1 , 12
1 , 10 , swiss , true , 1 , 12
1 , 11 , swiss , true , 1 , 12
1 , 12 , swiss , true , 1 , 12
1 , 13 , swiss , true , 1 , 12
1 , 14 , swiss , true , 1 , 12
1 , 15 , swiss , true , 1 , 12
1 , 16 , swiss , true , 1 , 12
1 , 17 , swiss , true , 1 , 12
1 , 18 , swiss , true , 1 , 12
1 , 19 , swiss , true , 1 , 13
1 , 20 , swiss , true , 1 , 12
1 , 21 , swiss , true , 1 , 13
1 , 22 , swiss , true , 1 , 14
1 , 23 , swiss , true , 1 , 12
1 , 24 , swiss , true , 1 , 12
1 , 25 , swiss , true , 1 , 15
1 , 26 , swiss , true , 1 , 13
1 , 27 , swiss , true , 1 , 13
1 , 28 , swiss , true , 1 , 13
1 , 29 , swiss , true , 1 , 12
1 , 30 , swiss , true , 1 , 13
1 , 31 , swiss , true , 1 , 12
1 , 32 , swiss , true , 1 , 12
1 , 33 , swiss , true , 1 , 12
1 , 34 , swiss , true , 1 , 12
1 , 35 , swiss , true , 1 , 12
1 , 36 , swiss , true , 1 , 13
1 , 37 , swiss , true , 1 , 13
1 , 38 , swiss , true , 1 , 12
1 , 39 , swiss , true , 1 , 12
1 , 40 , swiss , true , 1 , 13
1 , 41 , swiss , true , 1 , 12
1 , 42 , swiss , true , 1 , 12
1 , 43 , swiss , true , 1 , 13
1 , 44 , swiss , true , 1 , 13
1 , 45 , swiss , true , 1 , 12
1 , 46 , swiss , true , 1 , 12
1 , 47 , swiss , true , 1 , 12
1 , 48 , swiss , true , 1 , 13
1 , 49 , swiss , true , 1 , 13
1 , 50 , swiss , true , 1 , 13
1 , 51 , swiss , true , 1 , 13
1 , 52 , swiss , true , 1 , 13
1 , 53 , swiss , true , 1 , 13
1 , 54 , swiss , true , 1 , 13
1 , 55 , swiss , true , 1 , 13
1 , 56 , swiss , true , 1 , 13
1 , 57 , swiss , true , 1 , 12
1 , 58 , swiss , true , 1 , 13
1 , 59 , swiss , true , 1 , 13
1 , 60 , swiss , true , 1 , 13
1 , 61 , swiss , true , 1 , 14
1 , 62 , swiss , true , 1 , 13
1 , 63 , swiss , true , 1 , 13
1 , 64 , swiss , true , 1 , 14
1 , 1 , lausanne , false , 1 , 12
1 , 2 , lausanne , false , 1 , 12
1 , 3 , lausanne , false , 1 , 12
1 , 4 , lausanne , false , 1 , 12
1 , 5 , lausanne , false , 1 , 12
1 , 6 , lausanne , false , 1 , 12
1 , 7 , lausanne , false , 1 , 12
1 , 8 , lausanne , false , 1 , 12
1 , 9 , lausanne , false , 1 , 12
1 , 10 , lausanne , false , 1 , 12
1 , 11 , lausanne , false , 1 , 12
1 , 12 , lausanne , false , 1 , 13
1 , 13 , lausanne , false , 1 , 14
1 , 14 , lausanne , false , 1 , 12
1 , 15 , lausanne , false , 1 , 13
1 , 16 , lausanne , false , 1 , 15
1 , 17 , lausanne , false , 1 , 15
1 , 18 , lausanne , false , 1 , 13
1 , 19 , lausanne , false , 1 , 12
1 , 20 , lausanne , false , 1 , 12
1 , 21 , lausanne , false , 1 , 14
1 , 22 , lausanne , false , 1 , 12
1 , 23 , lausanne , false , 1 , 13
1 , 24 , lausanne , false , 1 , 17
1 , 25 , lausanne , false , 1 , 13
1 , 26 , lausanne , false , 1 , 13
1 , 27 , lausanne , false , 1 , 13
1 , 28 , lausanne , false , 1 , 13
1 , 29 , lausanne , false , 1 , 12
1 , 30 , lausanne , false , 1 , 12
1 , 31 , lausanne , false , 1 , 13
1 , 32 , lausanne , false , 1 , 13
1 , 33 , lausanne , false , 1 , 13
1 , 34 , lausanne , false , 1 , 13
1 , 35 , lausanne , false , 1 , 13
1 , 36 , lausanne , false , 1 , 16
1 , 37 , lausanne , false , 1 , 13
1 , 38 , lausanne , false , 1 , 13
1 , 39 , lausanne , false , 1 , 12
1 , 40 , lausanne , false , 1 , 16
1 , 41 , lausanne , false , 1 , 13
1 , 42 , lausanne , false , 1 , 12
1 , 43 , lausanne , false , 1 , 13
1 , 44 , lausanne , false , 1 , 13
1 , 45 , lausanne , false , 1 , 12
1 , 46 , lausanne , false , 1 , 13
1 , 47 , lausanne , false , 1 , 13
1 , 48 , lausanne , false , 1 , 13
1 , 49 , lausanne , false , 1 , 13
1 , 50 , lausanne , false , 1 , 13
1 , 51 , lausanne , false , 1 , 13
1 , 52 , lausanne , false , 1 , 13
1 , 53 , lausanne , false , 1 , 13
1 , 54 , lausanne , false , 1 , 13
1 , 55 , lausanne , false , 1 , 13
1 , 56 , lausanne , false , 1 , 13
1 , 57 , lausanne , false , 1 , 13
1 , 58 , lausanne , false , 1 , 13
1 , 59 , lausanne , false , 1 , 13
1 , 60 , lausanne , false , 1 , 13
1 , 61 , lausanne , false , 1 , 13
1 , 62 , lausanne , false , 1 , 13
1 , 63 , lausanne , false , 1 , 13
1 , 64 , lausanne , false , 1 , 14
1 , 1 , swiss , false , 1 , 12
1 , 2 , swiss , false , 1 , 11
1 , 3 , swiss , false , 1 , 13
1 , 4 , swiss , false , 1 , 15
1 , 5 , swiss , false , 1 , 12
1 , 6 , swiss , false , 1 , 12
1 , 7 , swiss , false , 1 , 14
1 , 8 , swiss , false , 1 , 12
1 , 9 , swiss , false , 1 , 12
1 , 10 , swiss , false , 1 , 12
1 , 11 , swiss , false , 1 , 12
1 , 12 , swiss , false , 1 , 13
1 , 13 , swiss , false , 1 , 12
1 , 14 , swiss , false , 1 , 13
1 , 15 , swiss , false , 1 , 12
1 , 16 , swiss , false , 1 , 12
1 , 17 , swiss , false , 1 , 13
1 , 18 , swiss , false , 1 , 12
1 , 19 , swiss , false , 1 , 12
1 , 20 , swiss , false , 1 , 12
1 , 21 , swiss , false , 1 , 12
1 , 22 , swiss , false , 1 , 12
1 , 23 , swiss , false , 1 , 13
1 , 24 , swiss , false , 1 , 12
1 , 25 , swiss , false , 1 , 12
1 , 26 , swiss , false , 1 , 12
1 , 27 , swiss , false , 1 , 12
1 , 28 , swiss , false , 1 , 12
1 , 29 , swiss , false , 1 , 18
1 , 30 , swiss , false , 1 , 13
1 , 31 , swiss , false , 1 , 12
1 , 32 , swiss , false , 1 , 12
1 , 33 , swiss , false , 1 , 16
1 , 34 , swiss , false , 1 , 13
1 , 35 , swiss , false , 1 , 13
1 , 36 , swiss , false , 1 , 13
1 , 37 , swiss , false , 1 , 13
1 , 38 , swiss , false , 1 , 12
1 , 39 , swiss , false , 1 , 16
1 , 40 , swiss , false , 1 , 13
1 , 41 , swiss , false , 1 , 12
1 , 42 , swiss , false , 1 , 12
1 , 43 , swiss , false , 1 , 16
1 , 44 , swiss , false , 1 , 14
1 , 45 , swiss , false , 1 , 13
1 , 46 , swiss , false , 1 , 13
1 , 47 , swiss , false , 1 , 13
1 , 48 , swiss , false , 1 , 13
1 , 49 , swiss , false , 1 , 13
1 , 50 , swiss , false , 1 , 13
1 , 51 , swiss , false , 1 , 13
1 , 52 , swiss , false , 1 , 13
1 , 53 , swiss , false , 1 , 13
1 , 54 , swiss , false , 1 , 13
1 , 55 , swiss , false , 1 , 12
1 , 56 , swiss , false , 1 , 13
1 , 57 , swiss , false , 1 , 13
1 , 58 , swiss , false , 1 , 13
1 , 59 , swiss , false , 1 , 13
1 , 60 , swiss , false , 1 , 13
1 , 61 , swiss , false , 1 , 14
1 , 62 , swiss , false , 1 , 13
1 , 63 , swiss , false , 1 , 14
1 , 64 , swiss , false , 1 , 13
2 , 1 , lausanne , true , 2 , 13
2 , 2 , lausanne , true , 2 , 13
2 , 3 , lausanne , true , 2 , 15
2 , 4 , lausanne , true , 2 , 14
2 , 5 , lausanne , true , 2 , 13
2 , 6 , lausanne , true , 2 , 13
2 , 7 , lausanne , true , 2 , 16
2 , 8 , lausanne , true , 2 , 13
2 , 9 , lausanne , true , 2 , 12
2 , 10 , lausanne , true , 2 , 14
2 , 11 , lausanne , true , 2 , 14
2 , 12 , lausanne , true , 2 , 13
2 , 13 , lausanne , true , 2 , 15
2 , 14 , lausanne , true , 2 , 13
2 , 15 , lausanne , true , 2 , 13
2 , 16 , lausanne , true , 2 , 13
2 , 17 , lausanne , true , 2 , 14
2 , 18 , lausanne , true , 2 , 13
2 , 19 , lausanne , true , 2 , 13
2 , 20 , lausanne , true , 2 , 13
2 , 21 , lausanne , true , 2 , 13
2 , 22 , lausanne , true , 2 , 13
2 , 23 , lausanne , true , 2 , 13
2 , 24 , lausanne , true , 2 , 13
2 , 25 , lausanne , true , 2 , 14
2 , 26 , lausanne , true , 2 , 13
2 , 27 , lausanne , true , 2 , 13
2 , 28 , lausanne , true , 2 , 13
2 , 29 , lausanne , true , 2 , 14
2 , 30 , lausanne , true , 2 , 13
2 , 31 , lausanne , true , 2 , 13
2 , 32 , lausanne , true , 2 , 13
2 , 33 , lausanne , true , 2 , 14
2 , 34 , lausanne , true , 2 , 14
2 , 35 , lausanne , true , 2 , 13
2 , 36 , lausanne , true , 2 , 13
2 , 37 , lausanne , true , 2 , 13
2 , 38 , lausanne , true , 2 , 13
2 , 39 , lausanne , true , 2 , 13
2 , 40 , lausanne , true , 2 , 14
2 , 41 , lausanne , true , 2 , 13
2 , 42 , lausanne , true , 2 , 13
2 , 43 , lausanne , true , 2 , 14
2 , 44 , lausanne , true , 2 , 13
2 , 45 , lausanne , true , 2 , 13
2 , 46 , lausanne , true , 2 , 14
2 , 47 , lausanne , true , 2 , 14
2 , 48 , lausanne , true , 2 , 13
2 , 49 , lausanne , true , 2 , 13
2 , 50 , lausanne , true , 2 , 13
2 , 51 , lausanne , true , 2 , 13
2 , 52 , lausanne , true , 2 , 13
2 , 53 , lausanne , true , 2 , 13
2 , 54 , lausanne , true , 2 , 14
2 , 55 , lausanne , true , 2 , 14
2 , 56 , lausanne , true , 2 , 14
2 , 57 , lausanne , true , 2 , 14
2 , 58 , lausanne , true , 2 , 14
2 , 59 , lausanne , true , 2 , 13
