job n,threads,country,random,seed,time
1 , 1 , 1 , true , 1 , 34
1 , 1 , 2 , true , 1 , 29
1 , 1 , 3 , true , 1 , 23
1 , 1 , 4 , true , 1 , 20
1 , 1 , 5 , true , 1 , 21
1 , 2 , 1 , true , 1 , 15
1 , 2 , 2 , true , 1 , 15
1 , 2 , 3 , true , 1 , 19
1 , 2 , 4 , true , 1 , 17
1 , 2 , 5 , true , 1 , 18
1 , 3 , 1 , true , 1 , 16
1 , 3 , 2 , true , 1 , 20
1 , 3 , 3 , true , 1 , 18
1 , 3 , 4 , true , 1 , 15
1 , 3 , 5 , true , 1 , 15
1 , 4 , 1 , true , 1 , 17
1 , 4 , 2 , true , 1 , 14
1 , 4 , 3 , true , 1 , 14
1 , 4 , 4 , true , 1 , 16
1 , 4 , 5 , true , 1 , 14
1 , 5 , 1 , true , 1 , 14
1 , 5 , 2 , true , 1 , 22
1 , 5 , 3 , true , 1 , 18
1 , 5 , 4 , true , 1 , 18
1 , 5 , 5 , true , 1 , 18
1 , 6 , 1 , true , 1 , 20
1 , 6 , 2 , true , 1 , 18
1 , 6 , 3 , true , 1 , 19
1 , 6 , 4 , true , 1 , 17
1 , 6 , 5 , true , 1 , 21
1 , 7 , 1 , true , 1 , 16
1 , 7 , 2 , true , 1 , 20
1 , 7 , 3 , true , 1 , 17
1 , 7 , 4 , true , 1 , 19
1 , 7 , 5 , true , 1 , 18
1 , 8 , 1 , true , 1 , 15
1 , 8 , 2 , true , 1 , 14
1 , 8 , 3 , true , 1 , 17
1 , 8 , 4 , true , 1 , 14
1 , 8 , 5 , true , 1 , 15
1 , 9 , 1 , true , 1 , 19
1 , 9 , 2 , true , 1 , 17
1 , 9 , 3 , true , 1 , 15
1 , 9 , 4 , true , 1 , 15
1 , 9 , 5 , true , 1 , 20
1 , 10 , 1 , true , 1 , 16
1 , 10 , 2 , true , 1 , 19
1 , 10 , 3 , true , 1 , 20
1 , 10 , 4 , true , 1 , 16
1 , 10 , 5 , true , 1 , 15
1 , 11 , 1 , true , 1 , 17
1 , 11 , 2 , true , 1 , 14
1 , 11 , 3 , true , 1 , 14
1 , 11 , 4 , true , 1 , 17
1 , 11 , 5 , true , 1 , 14
1 , 12 , 1 , true , 1 , 15
1 , 12 , 2 , true , 1 , 21
1 , 12 , 3 , true , 1 , 18
1 , 12 , 4 , true , 1 , 19
1 , 12 , 5 , true , 1 , 15
1 , 13 , 1 , true , 1 , 18
1 , 13 , 2 , true , 1 , 18
1 , 13 , 3 , true , 1 , 18
1 , 13 , 4 , true , 1 , 19
1 , 13 , 5 , true , 1 , 17
1 , 14 , 1 , true , 1 , 15
1 , 14 , 2 , true , 1 , 16
1 , 14 , 3 , true , 1 , 14
1 , 14 , 4 , true , 1 , 15
1 , 14 , 5 , true , 1 , 20
1 , 15 , 1 , true , 1 , 17
1 , 15 , 2 , true , 1 , 14
1 , 15 , 3 , true , 1 , 18
1 , 15 , 4 , true , 1 , 20
1 , 15 , 5 , true , 1 , 15
1 , 16 , 1 , true , 1 , 19
1 , 16 , 2 , true , 1 , 19
1 , 16 , 3 , true , 1 , 14
1 , 16 , 4 , true , 1 , 15
1 , 16 , 5 , true , 1 , 20
1 , 17 , 1 , true , 1 , 21
1 , 17 , 2 , true , 1 , 20
1 , 17 , 3 , true , 1 , 19
1 , 17 , 4 , true , 1 , 18
1 , 17 , 5 , true , 1 , 19
1 , 18 , 1 , true , 1 , 19
1 , 18 , 2 , true , 1 , 15
1 , 18 , 3 , true , 1 , 15
1 , 18 , 4 , true , 1 , 17
1 , 18 , 5 , true , 1 , 15
1 , 19 , 1 , true , 1 , 16
1 , 19 , 2 , true , 1 , 20
1 , 19 , 3 , true , 1 , 17
1 , 19 , 4 , true , 1 , 15
1 , 19 , 5 , true , 1 , 19
1 , 20 , 1 , true , 1 , 18
1 , 20 , 2 , true , 1 , 14
1 , 20 , 3 , true , 1 , 17
1 , 20 , 4 , true , 1 , 19
1 , 20 , 5 , true , 1 , 27
1 , 21 , 1 , true , 1 , 17
1 , 21 , 2 , true , 1 , 16
1 , 21 , 3 , true , 1 , 18
1 , 21 , 4 , true , 1 , 15
1 , 21 , 5 , true , 1 , 15
1 , 22 , 1 , true , 1 , 17
1 , 22 , 2 , true , 1 , 15
1 , 22 , 3 , true , 1 , 15
1 , 22 , 4 , true , 1 , 19
1 , 22 , 5 , true , 1 , 22
1 , 23 , 1 , true , 1 , 19
1 , 23 , 2 , true , 1 , 15
1 , 23 , 3 , true , 1 , 18
1 , 23 , 4 , true , 1 , 18
1 , 23 , 5 , true , 1 , 17
1 , 24 , 1 , true , 1 , 19
1 , 24 , 2 , true , 1 , 18
1 , 24 , 3 , true , 1 , 21
1 , 24 , 4 , true , 1 , 17
1 , 24 , 5 , true , 1 , 17
1 , 25 , 1 , true , 1 , 15
1 , 25 , 2 , true , 1 , 17
1 , 25 , 3 , true , 1 , 15
1 , 25 , 4 , true , 1 , 15
1 , 25 , 5 , true , 1 , 17
1 , 26 , 1 , true , 1 , 15
1 , 26 , 2 , true , 1 , 16
1 , 26 , 3 , true , 1 , 20
1 , 26 , 4 , true , 1 , 22
1 , 26 , 5 , true , 1 , 20
1 , 27 , 1 , true , 1 , 15
1 , 27 , 2 , true , 1 , 18
1 , 27 , 3 , true , 1 , 16
1 , 27 , 4 , true , 1 , 19
1 , 27 , 5 , true , 1 , 18
1 , 28 , 1 , true , 1 , 21
1 , 28 , 2 , true , 1 , 18
1 , 28 , 3 , true , 1 , 16
1 , 28 , 4 , true , 1 , 15
1 , 28 , 5 , true , 1 , 17
1 , 29 , 1 , true , 1 , 15
1 , 29 , 2 , true , 1 , 16
1 , 29 , 3 , true , 1 , 21
1 , 29 , 4 , true , 1 , 21
1 , 29 , 5 , true , 1 , 20
1 , 30 , 1 , true , 1 , 15
1 , 30 , 2 , true , 1 , 16
1 , 30 , 3 , true , 1 , 19
1 , 30 , 4 , true , 1 , 18
1 , 30 , 5 , true , 1 , 19
1 , 31 , 1 , true , 1 , 17
1 , 31 , 2 , true , 1 , 20
1 , 31 , 3 , true , 1 , 18
1 , 31 , 4 , true , 1 , 19
1 , 31 , 5 , true , 1 , 19
1 , 32 , 1 , true , 1 , 18
1 , 32 , 2 , true , 1 , 20
1 , 32 , 3 , true , 1 , 16
1 , 32 , 4 , true , 1 , 15
1 , 32 , 5 , true , 1 , 16
1 , 33 , 1 , true , 1 , 15
1 , 33 , 2 , true , 1 , 18
1 , 33 , 3 , true , 1 , 19
1 , 33 , 4 , true , 1 , 22
1 , 33 , 5 , true , 1 , 17
1 , 34 , 1 , true , 1 , 14
1 , 34 , 2 , true , 1 , 17
1 , 34 , 3 , true , 1 , 16
1 , 34 , 4 , true , 1 , 20
1 , 34 , 5 , true , 1 , 19
1 , 35 , 1 , true , 1 , 20
1 , 35 , 2 , true , 1 , 18
1 , 35 , 3 , true , 1 , 15
1 , 35 , 4 , true , 1 , 17
1 , 35 , 5 , true , 1 , 18
1 , 36 , 1 , true , 1 , 19
1 , 36 , 2 , true , 1 , 19
1 , 36 , 3 , true , 1 , 19
1 , 36 , 4 , true , 1 , 18
1 , 36 , 5 , true , 1 , 21
1 , 37 , 1 , true , 1 , 16
1 , 37 , 2 , true , 1 , 17
1 , 37 , 3 , true , 1 , 15
1 , 37 , 4 , true , 1 , 16
1 , 37 , 5 , true , 1 , 21
1 , 38 , 1 , true , 1 , 21
1 , 38 , 2 , true , 1 , 20
1 , 38 , 3 , true , 1 , 15
1 , 38 , 4 , true , 1 , 16
1 , 38 , 5 , true , 1 , 20
1 , 39 , 1 , true , 1 , 21
1 , 39 , 2 , true , 1 , 20
1 , 39 , 3 , true , 1 , 15
1 , 39 , 4 , true , 1 , 15
1 , 39 , 5 , true , 1 , 20
1 , 40 , 1 , true , 1 , 18
1 , 40 , 2 , true , 1 , 20
1 , 40 , 3 , true , 1 , 19
1 , 40 , 4 , true , 1 , 19
1 , 40 , 5 , true , 1 , 20
1 , 41 , 1 , true , 1 , 17
1 , 41 , 2 , true , 1 , 15
1 , 41 , 3 , true , 1 , 17
1 , 41 , 4 , true , 1 , 16
1 , 41 , 5 , true , 1 , 20
1 , 42 , 1 , true , 1 , 20
1 , 42 , 2 , true , 1 , 20
1 , 42 , 3 , true , 1 , 20
1 , 42 , 4 , true , 1 , 15
1 , 42 , 5 , true , 1 , 18
1 , 43 , 1 , true , 1 , 17
1 , 43 , 2 , true , 1 , 19
1 , 43 , 3 , true , 1 , 19
1 , 43 , 4 , true , 1 , 20
1 , 43 , 5 , true , 1 , 19
1 , 44 , 1 , true , 1 , 20
1 , 44 , 2 , true , 1 , 18
1 , 44 , 3 , true , 1 , 17
1 , 44 , 4 , true , 1 , 15
1 , 44 , 5 , true , 1 , 18
1 , 45 , 1 , true , 1 , 16
1 , 45 , 2 , true , 1 , 16
1 , 45 , 3 , true , 1 , 21
1 , 45 , 4 , true , 1 , 21
1 , 45 , 5 , true , 1 , 18
1 , 46 , 1 , true , 1 , 15
1 , 46 , 2 , true , 1 , 17
1 , 46 , 3 , true , 1 , 18
1 , 46 , 4 , true , 1 , 20
1 , 46 , 5 , true , 1 , 17
1 , 47 , 1 , true , 1 , 16
1 , 47 , 2 , true , 1 , 17
1 , 47 , 3 , true , 1 , 15
1 , 47 , 4 , true , 1 , 20
1 , 47 , 5 , true , 1 , 19
1 , 48 , 1 , true , 1 , 20
1 , 48 , 2 , true , 1 , 19
1 , 48 , 3 , true , 1 , 16
1 , 48 , 4 , true , 1 , 17
1 , 48 , 5 , true , 1 , 21
1 , 49 , 1 , true , 1 , 18
1 , 49 , 2 , true , 1 , 19
1 , 49 , 3 , true , 1 , 18
1 , 49 , 4 , true , 1 , 19
1 , 49 , 5 , true , 1 , 20
1 , 50 , 1 , true , 1 , 21
1 , 50 , 2 , true , 1 , 18
1 , 50 , 3 , true , 1 , 19
1 , 50 , 4 , true , 1 , 19
1 , 50 , 5 , true , 1 , 17
1 , 51 , 1 , true , 1 , 15
1 , 51 , 2 , true , 1 , 18
1 , 51 , 3 , true , 1 , 16
1 , 51 , 4 , true , 1 , 20
1 , 51 , 5 , true , 1 , 20
1 , 52 , 1 , true , 1 , 19
1 , 52 , 2 , true , 1 , 19
1 , 52 , 3 , true , 1 , 15
1 , 52 , 4 , true , 1 , 18
1 , 52 , 5 , true , 1 , 21
1 , 53 , 1 , true , 1 , 16
1 , 53 , 2 , true , 1 , 18
1 , 53 , 3 , true , 1 , 20
1 , 53 , 4 , true , 1 , 17
1 , 53 , 5 , true , 1 , 19
1 , 54 , 1 , true , 1 , 19
1 , 54 , 2 , true , 1 , 21
1 , 54 , 3 , true , 1 , 15
1 , 54 , 4 , true , 1 , 16
1 , 54 , 5 , true , 1 , 18
1 , 55 , 1 , true , 1 , 16
1 , 55 , 2 , true , 1 , 20
1 , 55 , 3 , true , 1 , 20
1 , 55 , 4 , true , 1 , 19
1 , 55 , 5 , true , 1 , 20
1 , 56 , 1 , true , 1 , 15
1 , 56 , 2 , true , 1 , 19
1 , 56 , 3 , true , 1 , 18
1 , 56 , 4 , true , 1 , 20
1 , 56 , 5 , true , 1 , 18
1 , 57 , 1 , true , 1 , 21
1 , 57 , 2 , true , 1 , 17
1 , 57 , 3 , true , 1 , 16
1 , 57 , 4 , true , 1 , 15
1 , 57 , 5 , true , 1 , 19
1 , 58 , 1 , true , 1 , 16
1 , 58 , 2 , true , 1 , 19
1 , 58 , 3 , true , 1 , 20
1 , 58 , 4 , true , 1 , 19
1 , 58 , 5 , true , 1 , 21
1 , 59 , 1 , true , 1 , 15
1 , 59 , 2 , true , 1 , 19
1 , 59 , 3 , true , 1 , 20
1 , 59 , 4 , true , 1 , 16
1 , 59 , 5 , true , 1 , 17
1 , 60 , 1 , true , 1 , 18
1 , 60 , 2 , true , 1 , 17
1 , 60 , 3 , true , 1 , 15
1 , 60 , 4 , true , 1 , 18
1 , 60 , 5 , true , 1 , 16
1 , 61 , 1 , true , 1 , 16
1 , 61 , 2 , true , 1 , 20
1 , 61 , 3 , true , 1 , 20
1 , 61 , 4 , true , 1 , 21
1 , 61 , 5 , true , 1 , 16
1 , 62 , 1 , true , 1 , 20
1 , 62 , 2 , true , 1 , 17
1 , 62 , 3 , true , 1 , 21
1 , 62 , 4 , true , 1 , 17
1 , 62 , 5 , true , 1 , 20
1 , 63 , 1 , true , 1 , 18
1 , 63 , 2 , true , 1 , 17
1 , 63 , 3 , true , 1 , 16
1 , 63 , 4 , true , 1 , 19
1 , 63 , 5 , true , 1 , 16
1 , 64 , 1 , true , 1 , 20
1 , 64 , 2 , true , 1 , 21
1 , 64 , 3 , true , 1 , 19
1 , 64 , 4 , true , 1 , 20
1 , 64 , 5 , true , 1 , 16
1 , 1 , 1 , false , 1 , 15
1 , 1 , 2 , false , 1 , 19
1 , 1 , 3 , false , 1 , 16
1 , 1 , 4 , false , 1 , 19
1 , 1 , 5 , false , 1 , 21
1 , 2 , 1 , false , 1 , 19
1 , 2 , 2 , false , 1 , 18
1 , 2 , 3 , false , 1 , 19
1 , 2 , 4 , false , 1 , 17
1 , 2 , 5 , false , 1 , 17
1 , 3 , 1 , false , 1 , 19
1 , 3 , 2 , false , 1 , 18
1 , 3 , 3 , false , 1 , 16
1 , 3 , 4 , false , 1 , 15
1 , 3 , 5 , false , 1 , 17
1 , 4 , 1 , false , 1 , 14
1 , 4 , 2 , false , 1 , 15
1 , 4 , 3 , false , 1 , 21
1 , 4 , 4 , false , 1 , 17
1 , 4 , 5 , false , 1 , 18
1 , 5 , 1 , false , 1 , 16
1 , 5 , 2 , false , 1 , 18
1 , 5 , 3 , false , 1 , 19
1 , 5 , 4 , false , 1 , 18
1 , 5 , 5 , false , 1 , 19
1 , 6 , 1 , false , 1 , 15
1 , 6 , 2 , false , 1 , 15
1 , 6 , 3 , false , 1 , 17
1 , 6 , 4 , false , 1 , 15
1 , 6 , 5 , false , 1 , 15
1 , 7 , 1 , false , 1 , 18
1 , 7 , 2 , false , 1 , 17
1 , 7 , 3 , false , 1 , 14
1 , 7 , 4 , false , 1 , 17
1 , 7 , 5 , false , 1 , 19
1 , 8 , 1 , false , 1 , 14
1 , 8 , 2 , false , 1 , 18
1 , 8 , 3 , false , 1 , 18
1 , 8 , 4 , false , 1 , 22
1 , 8 , 5 , false , 1 , 20
1 , 9 , 1 , false , 1 , 17
1 , 9 , 2 , false , 1 , 18
1 , 9 , 3 , false , 1 , 20
1 , 9 , 4 , false , 1 , 17
1 , 9 , 5 , false , 1 , 18
1 , 10 , 1 , false , 1 , 19
1 , 10 , 2 , false , 1 , 17
1 , 10 , 3 , false , 1 , 16
1 , 10 , 4 , false , 1 , 15
1 , 10 , 5 , false , 1 , 17
1 , 11 , 1 , false , 1 , 15
1 , 11 , 2 , false , 1 , 15
1 , 11 , 3 , false , 1 , 21
1 , 11 , 4 , false , 1 , 20
1 , 11 , 5 , false , 1 , 20
1 , 12 , 1 , false , 1 , 17
1 , 12 , 2 , false , 1 , 19
1 , 12 , 3 , false , 1 , 20
1 , 12 , 4 , false , 1 , 16
1 , 12 , 5 , false , 1 , 15
1 , 13 , 1 , false , 1 , 16
1 , 13 , 2 , false , 1 , 15
1 , 13 , 3 , false , 1 , 15
1 , 13 , 4 , false , 1 , 19
1 , 13 , 5 , false , 1 , 18
1 , 14 , 1 , false , 1 , 14
1 , 14 , 2 , false , 1 , 17
1 , 14 , 3 , false , 1 , 20
1 , 14 , 4 , false , 1 , 16
1 , 14 , 5 , false , 1 , 19
1 , 15 , 1 , false , 1 , 20
1 , 15 , 2 , false , 1 , 16
1 , 15 , 3 , false , 1 , 14
1 , 15 , 4 , false , 1 , 17
1 , 15 , 5 , false , 1 , 15
1 , 16 , 1 , false , 1 , 15
1 , 16 , 2 , false , 1 , 21
1 , 16 , 3 , false , 1 , 18
1 , 16 , 4 , false , 1 , 20
1 , 16 , 5 , false , 1 , 17
1 , 17 , 1 , false , 1 , 18
1 , 17 , 2 , false , 1 , 20
1 , 17 , 3 , false , 1 , 16
1 , 17 , 4 , false , 1 , 15
1 , 17 , 5 , false , 1 , 17
1 , 18 , 1 , false , 1 , 15
1 , 18 , 2 , false , 1 , 16
1 , 18 , 3 , false , 1 , 20
1 , 18 , 4 , false , 1 , 18
1 , 18 , 5 , false , 1 , 20
1 , 19 , 1 , false , 1 , 15
1 , 19 , 2 , false , 1 , 19
1 , 19 , 3 , false , 1 , 21
1 , 19 , 4 , false , 1 , 16
1 , 19 , 5 , false , 1 , 15
1 , 20 , 1 , false , 1 , 17
1 , 20 , 2 , false , 1 , 14
1 , 20 , 3 , false , 1 , 15
1 , 20 , 4 , false , 1 , 22
1 , 20 , 5 , false , 1 , 22
1 , 21 , 1 , false , 1 , 17
1 , 21 , 2 , false , 1 , 15
1 , 21 , 3 , false , 1 , 16
1 , 21 , 4 , false , 1 , 17
1 , 21 , 5 , false , 1 , 20
1 , 22 , 1 , false , 1 , 15
1 , 22 , 2 , false , 1 , 14
1 , 22 , 3 , false , 1 , 16
1 , 22 , 4 , false , 1 , 15
1 , 22 , 5 , false , 1 , 15
1 , 23 , 1 , false , 1 , 20
1 , 23 , 2 , false , 1 , 17
1 , 23 , 3 , false , 1 , 14
1 , 23 , 4 , false , 1 , 19
1 , 23 , 5 , false , 1 , 20
1 , 24 , 1 , false , 1 , 15
1 , 24 , 2 , false , 1 , 15
1 , 24 , 3 , false , 1 , 19
1 , 24 , 4 , false , 1 , 20
1 , 24 , 5 , false , 1 , 21
1 , 25 , 1 , false , 1 , 18
1 , 25 , 2 , false , 1 , 19
1 , 25 , 3 , false , 1 , 19
1 , 25 , 4 , false , 1 , 21
