job n,threads,country,random,seed,time
1 , 1 , 1 , true , 1 , 70
1 , 1 , 2 , true , 1 , 52
1 , 1 , 3 , true , 1 , 45
1 , 1 , 4 , true , 1 , 44
1 , 1 , 5 , true , 1 , 42
1 , 2 , 1 , true , 1 , 40
1 , 2 , 2 , true , 1 , 39
1 , 2 , 3 , true , 1 , 40
1 , 2 , 4 , true , 1 , 43
1 , 2 , 5 , true , 1 , 41
1 , 3 , 1 , true , 1 , 40
1 , 3 , 2 , true , 1 , 45
1 , 3 , 3 , true , 1 , 39
1 , 3 , 4 , true , 1 , 41
1 , 3 , 5 , true , 1 , 43
1 , 4 , 1 , true , 1 , 43
1 , 4 , 2 , true , 1 , 35
1 , 4 , 3 , true , 1 , 40
1 , 4 , 4 , true , 1 , 42
1 , 4 , 5 , true , 1 , 39
1 , 5 , 1 , true , 1 , 39
1 , 5 , 2 , true , 1 , 43
1 , 5 , 3 , true , 1 , 39
1 , 5 , 4 , true , 1 , 40
1 , 5 , 5 , true , 1 , 41
1 , 6 , 1 , true , 1 , 43
1 , 6 , 2 , true , 1 , 38
1 , 6 , 3 , true , 1 , 41
1 , 6 , 4 , true , 1 , 39
1 , 6 , 5 , true , 1 , 39
1 , 7 , 1 , true , 1 , 40
1 , 7 , 2 , true , 1 , 40
1 , 7 , 3 , true , 1 , 40
1 , 7 , 4 , true , 1 , 43
1 , 7 , 5 , true , 1 , 39
1 , 8 , 1 , true , 1 , 40
1 , 8 , 2 , true , 1 , 42
1 , 8 , 3 , true , 1 , 44
1 , 8 , 4 , true , 1 , 40
1 , 8 , 5 , true , 1 , 45
1 , 9 , 1 , true , 1 , 41
1 , 9 , 2 , true , 1 , 42
1 , 9 , 3 , true , 1 , 35
1 , 9 , 4 , true , 1 , 44
1 , 9 , 5 , true , 1 , 42
1 , 10 , 1 , true , 1 , 40
1 , 10 , 2 , true , 1 , 43
1 , 10 , 3 , true , 1 , 36
1 , 10 , 4 , true , 1 , 41
1 , 10 , 5 , true , 1 , 42
1 , 11 , 1 , true , 1 , 42
1 , 11 , 2 , true , 1 , 41
1 , 11 , 3 , true , 1 , 40
1 , 11 , 4 , true , 1 , 42
1 , 11 , 5 , true , 1 , 40
1 , 12 , 1 , true , 1 , 41
1 , 12 , 2 , true , 1 , 42
1 , 12 , 3 , true , 1 , 43
1 , 12 , 4 , true , 1 , 46
1 , 12 , 5 , true , 1 , 45
1 , 13 , 1 , true , 1 , 42
1 , 13 , 2 , true , 1 , 43
1 , 13 , 3 , true , 1 , 41
1 , 13 , 4 , true , 1 , 43
1 , 13 , 5 , true , 1 , 41
1 , 14 , 1 , true , 1 , 41
1 , 14 , 2 , true , 1 , 41
1 , 14 , 3 , true , 1 , 41
1 , 14 , 4 , true , 1 , 41
1 , 14 , 5 , true , 1 , 41
1 , 15 , 1 , true , 1 , 42
1 , 15 , 2 , true , 1 , 42
1 , 15 , 3 , true , 1 , 44
1 , 15 , 4 , true , 1 , 42
1 , 15 , 5 , true , 1 , 43
