job n,country,random,seed,time
1 , lausanne , true , 1 , 62
1 , swiss , true , 1 , 51
1 , lausanne , false , 1 , 34
1 , swiss , false , 1 , 58
2 , lausanne , true , 2 , 47
2 , swiss , true , 2 , 63
2 , lausanne , false , 2 , 45
2 , swiss , false , 2 , 63
3 , lausanne , true , 3 , 72
3 , swiss , true , 3 , 65
3 , lausanne , false , 3 , 57
3 , swiss , false , 3 , 73
4 , lausanne , true , 4 , 66
4 , swiss , true , 4 , 79
4 , lausanne , false , 4 , 59
4 , swiss , false , 4 , 85
5 , lausanne , true , 5 , 76
5 , swiss , true , 5 , 88
5 , lausanne , false , 5 , 66
5 , swiss , false , 5 , 85
6 , lausanne , true , 6 , 74
6 , swiss , true , 6 , 89
6 , lausanne , false , 6 , 73
6 , swiss , false , 6 , 94
7 , lausanne , true , 7 , 84
7 , swiss , true , 7 , 115
7 , lausanne , false , 7 , 85
7 , swiss , false , 7 , 112
8 , lausanne , true , 8 , 98
8 , swiss , true , 8 , 125
8 , lausanne , false , 8 , 94
8 , swiss , false , 8 , 109
9 , lausanne , true , 9 , 106
9 , swiss , true , 9 , 126
9 , lausanne , false , 9 , 111
9 , swiss , false , 9 , 129
10 , lausanne , true , 10 , 114
10 , swiss , true , 10 , 126
10 , lausanne , false , 10 , 112
10 , swiss , false , 10 , 122
11 , lausanne , true , 11 , 121
11 , swiss , true , 11 , 140
11 , lausanne , false , 11 , 129
11 , swiss , false , 11 , 136
12 , lausanne , true , 12 , 143
12 , swiss , true , 12 , 153
12 , lausanne , false , 12 , 128
12 , swiss , false , 12 , 160
13 , lausanne , true , 13 , 149
13 , swiss , true , 13 , 147
13 , lausanne , false , 13 , 146
13 , swiss , false , 13 , 149
14 , lausanne , true , 14 , 146
14 , swiss , true , 14 , 162
14 , lausanne , false , 14 , 168
14 , swiss , false , 14 , 170
15 , lausanne , true , 15 , 161
15 , swiss , true , 15 , 176
15 , lausanne , false , 15 , 167
15 , swiss , false , 15 , 177
16 , lausanne , true , 16 , 173
16 , swiss , true , 16 , 185
16 , lausanne , false , 16 , 188
16 , swiss , false , 16 , 196
17 , lausanne , true , 17 , 190
17 , swiss , true , 17 , 190
17 , lausanne , false , 17 , 193
17 , swiss , false , 17 , 194
18 , lausanne , true , 18 , 207
18 , swiss , true , 18 , 195
18 , lausanne , false , 18 , 202
18 , swiss , false , 18 , 200
19 , lausanne , true , 19 , 229
19 , swiss , true , 19 , 217
19 , lausanne , false , 19 , 232
19 , swiss , false , 19 , 222
20 , lausanne , true , 20 , 210
20 , swiss , true , 20 , 215
20 , lausanne , false , 20 , 230
20 , swiss , false , 20 , 212
21 , lausanne , true , 21 , 239
21 , swiss , true , 21 , 218
21 , lausanne , false , 21 , 236
21 , swiss , false , 21 , 221
22 , lausanne , true , 22 , 270
22 , swiss , true , 22 , 252
22 , lausanne , false , 22 , 271
22 , swiss , false , 22 , 251
23 , lausanne , true , 23 , 247
23 , swiss , true , 23 , 237
23 , lausanne , false , 23 , 298
23 , swiss , false , 23 , 245
24 , lausanne , true , 24 , 263
24 , swiss , true , 24 , 241
24 , lausanne , false , 24 , 276
24 , swiss , false , 24 , 258
25 , lausanne , true , 25 , 309
25 , swiss , true , 25 , 266
25 , lausanne , false , 25 , 305
25 , swiss , false , 25 , 270
26 , lausanne , true , 26 , 325
26 , swiss , true , 26 , 260
26 , lausanne , false , 26 , 319
26 , swiss , false , 26 , 273
27 , lausanne , true , 27 , 345
27 , swiss , true , 27 , 278
27 , lausanne , false , 27 , 349
27 , swiss , false , 27 , 299
28 , lausanne , true , 28 , 325
28 , swiss , true , 28 , 283
28 , lausanne , false , 28 , 354
28 , swiss , false , 28 , 280
29 , lausanne , true , 29 , 393
29 , swiss , true , 29 , 305
29 , lausanne , false , 29 , 397
29 , swiss , false , 29 , 301
30 , lausanne , true , 30 , 392
30 , swiss , true , 30 , 302
30 , lausanne , false , 30 , 447
30 , swiss , false , 30 , 310
CH

1 , lausanne , true , 1 , 36
1 , swiss , true , 1 , 43
1 , lausanne , false , 1 , 22
1 , swiss , false , 1 , 33
2 , lausanne , true , 2 , 23
2 , swiss , true , 2 , 28
2 , lausanne , false , 2 , 20
2 , swiss , false , 2 , 26
3 , lausanne , true , 3 , 27
3 , swiss , true , 3 , 33
3 , lausanne , false , 3 , 23
3 , swiss , false , 3 , 29
4 , lausanne , true , 4 , 27
4 , swiss , true , 4 , 36
4 , lausanne , false , 4 , 24
4 , swiss , false , 4 , 35
5 , lausanne , true , 5 , 26
5 , swiss , true , 5 , 40
5 , lausanne , false , 5 , 33
5 , swiss , false , 5 , 52
6 , lausanne , true , 6 , 34
6 , swiss , true , 6 , 45
6 , lausanne , false , 6 , 33
6 , swiss , false , 6 , 56
7 , lausanne , true , 7 , 38
